iter	Logloss
0	0.6420605491
1	0.5992288741
2	0.5591273267
3	0.5303602054
4	0.5060889567
5	0.4863439756
6	0.470083371
7	0.4561700547
8	0.4437140007
9	0.4315482503
10	0.4218007537
11	0.4137392397
12	0.4079679273
13	0.4031622472
14	0.3981026863
15	0.3941030829
16	0.3905811788
17	0.3874635609
18	0.3837175275
19	0.3802096718
20	0.3777886102
21	0.3749203904
22	0.3725563928
23	0.3702294418
24	0.3676673224
25	0.3660637925
26	0.363967294
27	0.3617891205
28	0.3601691095
29	0.3576550842
30	0.3551156375
31	0.3529222198
32	0.3507075595
33	0.3488955292
34	0.3463764997
35	0.3441403406
36	0.3422335346
37	0.3408660627
38	0.3393627669
39	0.3379010762
40	0.3368495038
41	0.3352618647
42	0.3337702829
43	0.3320377835
44	0.3303495947
45	0.3287203075
46	0.3272131189
47	0.3260842484
48	0.3250776402
49	0.3240208063
50	0.3230293559
51	0.3220108375
52	0.3210561656
53	0.3196943877
54	0.318156318
55	0.3169583555
56	0.3153699738
57	0.3143278655
58	0.3133184597
59	0.3125616918
60	0.3114320689
61	0.3103005084
62	0.3091325539
63	0.3080712703
64	0.306839491
65	0.3054767813
66	0.304565555
67	0.3033854453
68	0.3023729824
69	0.3015365703
70	0.3002533293
71	0.2993795668
72	0.2983867641
73	0.2972313217
74	0.2956911041
75	0.294729076
76	0.2936757413
77	0.2926596761
78	0.2915069532
79	0.2904872425
80	0.2896726818
81	0.2886552897
82	0.2874259963
83	0.2861863737
84	0.285164805
85	0.2841218783
86	0.2827334703
87	0.2820074376
88	0.2807489441
89	0.2799147348
90	0.2788453578
91	0.2779962201
92	0.2770663522
93	0.276229047
94	0.2752891824
95	0.2742452586
96	0.273220169
97	0.2721487162
98	0.2711374689
99	0.2702641255
