iter	Passed	Remaining
0	69	6839
1	78	3839
2	86	2800
3	94	2279
4	102	1952
5	111	1749
6	120	1601
7	128	1480
8	137	1391
9	146	1318
10	154	1251
11	162	1194
12	170	1142
13	179	1100
14	188	1068
15	197	1034
16	205	1005
17	214	976
18	222	948
19	230	922
20	239	899
21	247	877
22	255	856
23	264	836
24	272	818
25	281	802
26	290	786
27	298	768
28	307	751
29	315	736
30	323	720
31	331	705
32	340	690
33	348	676
34	356	662
35	365	649
36	373	636
37	381	622
38	389	609
39	397	596
40	405	583
41	413	571
42	422	559
43	430	547
44	438	536
45	447	524
46	455	513
47	463	502
48	471	490
49	479	479
50	488	469
51	496	458
52	504	447
53	513	437
54	521	426
55	530	416
56	538	406
57	546	395
58	555	385
59	564	376
60	573	366
61	581	356
62	589	346
63	597	336
64	606	326
65	614	316
66	624	307
67	632	297
68	642	288
69	649	278
70	659	269
71	669	260
72	678	250
73	686	241
74	694	231
75	702	221
76	710	212
77	718	202
78	727	193
79	735	183
80	743	174
81	750	164
82	759	155
83	767	146
84	775	136
85	783	127
86	792	118
87	800	109
88	809	99
89	816	90
90	824	81
91	832	72
92	840	63
93	848	54
94	857	45
95	865	36
96	873	27
97	882	18
98	890	8
99	898	0
